//アドレス指定方法,,,,,,,,,,,,,,
// XY ---- X0　　　　直接I/O 先頭にアドレスタイプ(XorY)その後16進数でアドレス指定(桁数指定無し),,,,,,,,,,,,,,
// C0 ----- C01S00I00　C0C0-Link経由　先頭C0固定，その後ﾕﾆｯﾄ設定番号1桁，その後S固定，その後スレーブ番号16進数2桁，その後I(IN)orO(OUT)，その後アドレス16進数2桁,,,,,,,,,,,,,,
No.,IND1,TRN1,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,BAKE1,BAKE2,EEW1,EEW2,CVP1,IFB1
111,,,C06S03O11,C06S08O11,C06S0DO11,C06S12O11,,,C04S19I0F,C04S25I0F,,,,
112,,,C06S03O12,C06S08O12,C06S0DO12,C06S12O12,,,C04S1BI02,C04S27I02,,,,
113,,,C06S03O13,C06S08O13,C06S0DO13,C06S12O13,,,C04S1BI03,C04S27I03,,,,
114,,,C06S03O14,C06S08O14,C06S0DO14,C06S12O14,,,C04S1BI06,C04S27I06,,,,
115,,,C06S03O15,C06S08O15,C06S0DO15,C06S12O15,,,C04S1BI07,C04S27I07,,,,
116,,,C06S03O16,C06S08O16,C06S0DO16,C06S12O16,,,C04S1BI0A,C04S27I0A,,,,
117,,,C06S03O17,C06S08O17,C06S0DO17,C06S12O17,,,C04S1BI0B,C04S27I0B,,,,
118,,,C06S03O18,C06S08O18,C06S0DO18,C06S12O18,,,C04S1BI0E,C04S27I0E,,,,
119,,,C06S03O19,C06S08O19,C06S0DO19,C06S12O19,,,C04S1BI0F,C04S27I0F,,,,
120,,,C06S03O1A,C06S08O1A,C06S0DO1A,C06S12O1A,,,C04S1DI02,C04S29I02,,,,
121,,,C06S03O1B,C06S08O1B,C06S0DO1B,C06S12O1B,,,C04S1DI03,C04S29I03,,,,
122,,,C06S03O1C,C06S08O1C,C06S0DO1C,C06S12O1C,,,C04S1DI06,C04S29I06,,,,
123,,,C06S03O1D,C06S08O1D,C06S0DO1D,C06S12O1D,,,C04S1DI07,C04S29I07,,,,
124,,,C06S03O1E,C06S08O1E,C06S0DO1E,C06S12O1E,,,C04S1DI0A,C04S29I0A,,,,
125,,,C06S03O1F,C06S08O1F,C06S0DO1F,C06S12O1F,,,C04S1DI0B,C04S29I0B,,,,
126,,,C06S04O00,C06S09O00,C06S0EO00,C06S13O00,,,C04S1DI0E,C04S29I0E,,,,
127,,,C06S04O01,C06S09O01,C06S0EO01,C06S13O01,,,C04S1DI0F,C04S29I0F,,,,
128,,,C06S04O02,C06S09O02,C06S0EO02,C06S13O02,,,C04S16O00,C04S22O00,,,,
129,,,C06S04O03,C06S09O03,C06S0EO03,C06S13O03,,,C04S16O01,C04S22O01,,,,
130,,,C06S04O04,C06S09O04,C06S0EO04,C06S13O04,,,C04S16O02,C04S22O02,,,,
131,,,C06S04O05,C06S09O05,C06S0EO05,C06S13O05,,,C04S16O03,C04S22O03,,,,
132,,,C06S04O06,C06S09O06,C06S0EO06,C06S13O06,,,C04S16O04,C04S22O04,,,,
133,,,C06S04O07,C06S09O07,C06S0EO07,C06S13O07,,,C04S16O05,C04S22O05,,,,
134,,,C06S04O08,C06S09O08,C06S0EO08,C06S13O08,,,C04S16O06,C04S22O06,,,,
135,,,C06S04O09,C06S09O09,C06S0EO09,C06S13O09,,,C04S16O07,C04S22O07,,,,
136,,,C06S04O0A,C06S09O0A,C06S0EO0A,C06S13O0A,,,C04S18O10,C04S24O10,,,,
137,,,C06S04O0B,C06S09O0B,C06S0EO0B,C06S13O0B,,,C04S18O11,C04S24O11,,,,
138,,,C06S04O0C,C06S09O0C,C06S0EO0C,C06S13O0C,,,C04S1AO10,C04S26O10,,,,
139,,,C06S04O0D,C06S09O0D,C06S0EO0D,C06S13O0D,,,C04S1AO11,C04S26O11,,,,
140,,,C06S04O0E,C06S09O0E,C06S0EO0E,C06S13O0E,,,C04S1CO10,C04S28O10,,,,
141,,,C06S04O0F,C06S09O0F,C06S0EO0F,C06S13O0F,,,C04S1CO11,C04S28O11,,,,
142,,,C06S04O10,C06S09O10,C06S0EO10,C06S13O10,,,C04S1EO10,C04S2AO10,,,,
143,,,C06S04O11,C06S09O11,C06S0EO11,C06S13O11,,,C04S1EO11,C04S2AO11,,,,
144,,,C06S04O12,C06S09O12,C06S0EO12,C06S13O12,,,C04S18O00,C04S24O00,,,,
145,,,C06S04O13,C06S09O13,C06S0EO13,C06S13O13,,,C04S18O01,C04S24O01,,,,
146,,,C06S04O14,C06S09O14,C06S0EO14,C06S13O14,,,C04S18O04,C04S24O04,,,,
147,,,C06S04O15,C06S09O15,C06S0EO15,C06S13O15,,,C04S18O05,C04S24O05,,,,
148,,,C06S04O16,C06S09O16,C06S0EO16,C06S13O16,,,C04S18O08,C04S24O08,,,,
149,,,C06S04O17,C06S09O17,C06S0EO17,C06S13O17,,,C04S18O09,C04S24O09,,,,
150,,,C06S04O18,C06S09O18,C06S0EO18,C06S13O18,,,C04S18O0C,C04S24O0C,,,,
151,,,C06S04O19,C06S09O19,C06S0EO19,C06S13O19,,,C04S18O0D,C04S24O0D,,,,
152,,,C06S04O1A,C06S09O1A,C06S0EO1A,C06S13O1A,,,C04S1AO00,C04S26O00,,,,
153,,,C06S04O1B,C06S09O1B,C06S0EO1B,C06S13O1B,,,C04S1AO01,C04S26O01,,,,
154,,,C06S04O1C,C06S09O1C,C06S0EO1C,C06S13O1C,,,C04S1AO04,C04S26O04,,,,
155,,,C06S04O1D,C06S09O1D,C06S0EO1D,C06S13O1D,,,C04S1AO05,C04S26O05,,,,
156,,,C06S04O1E,C06S09O1E,C06S0EO1E,C06S13O1E,,,C04S1AO08,C04S26O08,,,,
157,,,C06S04O1F,C06S09O1F,C06S0EO1F,C06S13O1F,,,C04S1AO09,C04S26O09,,,,
158,,,C06S05I00,C06S0AI00,C06S0FI00,C06S14I00,,,C04S1AO0C,C04S26O0C,,,,
159,,,C06S05I01,C06S0AI01,C06S0FI01,C06S14I01,,,C04S1AO0D,C04S26O0D,,,,
160,,,C06S05I02,C06S0AI02,C06S0FI02,C06S14I02,,,C04S1CO00,C04S28O00,,,,
161,,,C06S05I03,C06S0AI03,C06S0FI03,C06S14I03,,,C04S1CO01,C04S28O01,,,,
162,,,C06S05I04,C06S0AI04,C06S0FI04,C06S14I04,,,C04S1CO04,C04S28O04,,,,
163,,,C06S05I05,C06S0AI05,C06S0FI05,C06S14I05,,,C04S1CO05,C04S28O05,,,,
164,,,C06S05I06,C06S0AI06,C06S0FI06,C06S14I06,,,C04S1CO08,C04S28O08,,,,
165,,,C06S05I07,C06S0AI07,C06S0FI07,C06S14I07,,,C04S1CO09,C04S28O09,,,,
166,,,C06S05I08,C06S0AI08,C06S0FI08,C06S14I08,,,C04S1CO0C,C04S28O0C,,,,
167,,,C06S05I09,C06S0AI09,C06S0FI09,C06S14I09,,,C04S1CO0D,C04S28O0D,,,,
168,,,C06S05I0A,C06S0AI0A,C06S0FI0A,C06S14I0A,,,C04S1EO00,C04S2AO00,,,,
169,,,C06S05I0B,C06S0AI0B,C06S0FI0B,C06S14I0B,,,C04S1EO01,C04S2AO01,,,,
170,,,C06S05I0C,C06S0AI0C,C06S0FI0C,C06S14I0C,,,C04S1EO04,C04S2AO04,,,,
171,,,C06S05I0D,C06S0AI0D,C06S0FI0D,C06S14I0D,,,C04S1EO05,C04S2AO05,,,,
172,,,C06S05I0E,C06S0AI0E,C06S0FI0E,C06S14I0E,,,C04S1EO08,C04S2AO08,,,,
173,,,C06S05I0F,C06S0AI0F,C06S0FI0F,C06S14I0F,,,C04S1EO09,C04S2AO09,,,,
174,,,C06S05O10,C06S0AO10,C06S0FO10,C06S14O10,,,C04S1EO0C,C04S2AO0C,,,,
175,,,C06S05O11,C06S0AO11,C06S0FO11,C06S14O11,,,C04S1EO0D,C04S2AO0D,,,,
176,,,C06S05O12,C06S0AO12,C06S0FO12,C06S14O12,,,C04S18O12,C04S24O12,,,,
177,,,C06S05O13,C06S0AO13,C06S0FO13,C06S14O13,,,C04S18O13,C04S24O13,,,,
178,,,C06S05O14,C06S0AO14,C06S0FO14,C06S14O14,,,C04S18O14,C04S24O14,,,,
179,,,C06S05O15,C06S0AO15,C06S0FO15,C06S14O15,,,C04S18O15,C04S24O15,,,,
180,,,C06S05O16,C06S0AO16,C06S0FO16,C06S14O16,,,C04S1AO12,C04S26O12,,,,
181,,,C06S05O17,C06S0AO17,C06S0FO17,C06S14O17,,,C04S1AO13,C04S26O13,,,,
182,,,C06S05O18,C06S0AO18,C06S0FO18,C06S14O18,,,C04S1AO14,C04S26O14,,,,
183,,,C06S05O19,C06S0AO19,C06S0FO19,C06S14O19,,,C04S1AO15,C04S26O15,,,,
184,,,C06S05O1A,C06S0AO1A,C06S0FO1A,C06S14O1A,,,C04S1CO12,C04S28O12,,,,
185,,,C06S05O1B,C06S0AO1B,C06S0FO1B,C06S14O1B,,,C04S1CO13,C04S28O13,,,,
186,,,C06S05O1C,C06S0AO1C,C06S0FO1C,C06S14O1C,,,C04S1CO14,C04S28O14,,,,
187,,,C06S05O1D,C06S0AO1D,C06S0FO1D,C06S14O1D,,,C04S1CO15,C04S28O15,,,,
188,,,C06S05O1E,C06S0AO1E,C06S0FO1E,C06S14O1E,,,C04S1EO12,C04S2AO12,,,,
189,,,C06S05O1F,C06S0AO1F,C06S0FO1F,C06S14O1F,,,C04S1EO13,C04S2AO13,,,,
190,,,C06S15I00,C06S15I08,C06S16I00,C06S16I08,,,C04S1EO14,C04S2AO14,,,,
191,,,C06S15I01,C06S15I09,C06S16I01,C06S16I09,,,C04S1EO15,C04S2AO15,,,,
192,,,C06S15I02,C06S15I0A,C06S16I02,C06S16I0A,,,C04S20O00,C04S2CO00,,,,
193,,,C06S15I03,C06S15I0B,C06S16I03,C06S16I0B,,,C04S20O01,C04S2CO01,,,,
194,,,C06S15I04,C06S15I0C,C06S16I04,C06S16I0C,,,C04S20O02,C04S2CO02,,,,
195,,,C06S15I05,C06S15I0D,C06S16I05,C06S16I0D,,,C04S20O03,C04S2CO03,,,,
196,,,C06S15I06,C06S15I0E,C06S16I06,C06S16I0E,,,C04S20O04,C04S2CO04,,,,
197,,,C06S15I07,C06S15I0F,C06S16I07,C06S16I0F,,,C04S20O05,C04S2CO05,,,,
198,,,C06S15I10,C06S15I14,C06S16I10,C06S16I18,,,C04S20O06,C04S2CO06,,,,
199,,,C06S15I11,C06S15I15,C06S16I11,C06S16I19,,,C04S20O07,C04S2CO07,,,,
200,,,C06S15I12,C06S15I16,C06S16I12,C06S16I1A,,,C04S20O08,C04S2CO08,,,,
201,,,C06S15I13,C06S15I17,C06S16I13,C06S16I1B,,,C04S20O09,C04S2CO09,,,,
202,,,C06S15I18,C06S15I1C,C06S16I14,C06S16I1C,,,C04S20O0A,C04S2CO0A,,,,
203,,,C06S15I19,C06S15I1D,C06S16I15,C06S16I1D,,,C04S20O0B,C04S2CO0B,,,,
204,,,C06S15I1A,C06S15I1E,C06S16I16,C06S16I1E,,,C04S20O0C,C04S2CO0C,,,,
205,,,C06S15I1B,C06S15I1F,C06S16I17,C06S16I1F,,,C04S20O0D,C04S2CO0D,,,,
206,,,,,,,,,C04S20O0E,C04S2CO0E,,,,
207,,,,,,,,,C04S20O0F,C04S2CO0F,,,,
208,,,,,,,,,C04S20O10,C04S2CO10,,,,
209,,,,,,,,,C04S20O11,C04S2CO11,,,,
210,,,,,,,,,C04S20O12,C04S2CO12,,,,
211,,,,,,,,,C04S20O13,C04S2CO13,,,,
212,,,,,,,,,C04S20O14,C04S2CO14,,,,
213,,,,,,,,,C04S20O15,C04S2CO15,,,,
214,,,,,,,,,C04S20O16,C04S2CO16,,,,
215,,,,,,,,,C04S20O17,C04S2CO17,,,,
216,,,,,,,,,C04S18O02,C04S24O02,,,,
217,,,,,,,,,C04S18O03,C04S24O03,,,,
218,,,,,,,,,C04S18O06,C04S24O06,,,,
219,,,,,,,,,C04S18O07,C04S24O07,,,,
220,,,,,,,,,C04S18O0A,C04S24O0A,,,,
221,,,,,,,,,C04S18O0B,C04S24O0B,,,,
222,,,,,,,,,C04S18O0E,C04S24O0E,,,,
223,,,,,,,,,C04S18O0F,C04S24O0F,,,,
224,,,,,,,,,C04S1AO02,C04S26O02,,,,
225,,,,,,,,,C04S1AO03,C04S26O03,,,,
226,,,,,,,,,C04S1AO06,C04S26O06,,,,
